ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
1,132695768;1,123118854;1,145286022;0,964091438;28/08/2012
1,130255843;1,123357214;1,135004665;0,947562599;29/08/2012
1,125462834;1,123622877;1,12908279;0,940346363;30/08/2012
1,116987687;1,115138385;1,122813216;0,936440169;31/08/2012
1,126158929;1,121550785;1,137839542;0,940559137;03/09/2012
1,123962363;1,117748112;1,129885164;0,933213741;04/09/2012
1,12923293;1,124105005;1,140419762;0,945115103;05/09/2012
1,145855937;1,142370693;1,1539601;0,962860485;06/09/2012
1,142166735;1,136221788;1,146635449;0,960749914;10/09/2012
1,134733377;1,132331623;1,141006019;0,966258855;11/09/2012
1,106444026;1,108673224;1,126066021;0,962612062;12/09/2012
1,124969456;1,125865966;1,150661865;0,993568736;13/09/2012
1,115070318;1,118543136;1,145949529;0,99571411;14/09/2012
1,12282864;1,128203111;1,150013096;0,994240525;17/09/2012
1,127129697;1,132338119;1,156507991;0,994181295;18/09/2012
1,127877841;1,129022887;1,156839286;0,990261221;19/09/2012
1,126847145;1,129405677;1,154274542;0,990310621;20/09/2012
1,130442431;1,129595037;1,152845805;0,986659478;21/09/2012
1,132738011;1,134410667;1,161417891;0,995967308;24/09/2012
1,120918606;1,122754064;1,145213215;0,975337803;25/09/2012
1,125042153;1,123822137;1,149476825;0,980984007;26/09/2012
1,12970308;1,127284107;1,149818385;0,978749144;27/09/2012
1,132431561;1,129835536;1,143431881;0,971113474;28/09/2012
1,14115851;1,141500766;1,149413108;0,977546809;01/10/2012
1,145745598;1,142275097;1,158584907;0,980385001;02/10/2012
1,134940304;1,132672318;1,148253458;0,971540042;03/10/2012
1,137265457;1,133221453;1,149768846;0,970183094;04/10/2012
1,148281544;1,144745279;1,158464838;0,976638367;05/10/2012
1,149782739;1,153197422;1,162134469;0,983594109;08/10/2012
1,139847513;1,145114524;1,152244485;0,979063609;09/10/2012
1,135675237;1,137665104;1,147045036;0,976671694;10/10/2012
1,148157328;1,147290978;1,158226619;0,983270469;11/10/2012
1,143584818;1,145272419;1,160667493;0,993820369;15/10/2012
1,152054826;1,150291703;1,166129648;0,997285069;16/10/2012
1,147865898;1,145846334;1,166269537;0,995009811;17/10/2012
1,146908165;1,146900992;1,163782145;0,995009048;18/10/2012
1,147070392;1,142537649;1,160183259;0,98980399;19/10/2012
1,147468605;1,144438372;1,16308251;0,991366656;22/10/2012
1,133621644;1,130557159;1,151018529;0,976305856;23/10/2012
1,133658909;1,132084111;1,152537272;0,97931661;24/10/2012
